"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 28-Feb-2024","1W AGO 
 23-Feb-2024","1M AGO 
 30-Jan-2024","1Y AGO 
 01-Mar-2023","52W H 
","52W L 
","365 D % CHNG 
 01-Mar-2023","30 D % CHNG 
 30-Jan-2024"
"NIFTY OIL & GAS","11,685.25","1.99","11,544.25","11,705.25","11,538.20","11,457.50","11,441.60","11,756.30","10,656.35","7,015.20","12,074.30","4,632.70","63.32","7.52"
"NIFTY DIVIDEND OPPORTUNITIES 50","5,830.25","1.11","5,794.35","5,840.15","5,792.00","5,766.05","5,750.90","5,829.00","5,602.20","3,880.80","5,909.90","3,779.25","48.58","2.92"
"NIFTY GROWTH SECTORS 15","11,205.10","0.45","11,185.85","11,240.50","11,160.10","11,154.70","11,136.15","11,178.60","10,798.05","8,594.90","11,269.75","8,343.45","29.78","3.30"
"NIFTY100 QUALITY 30","5,113.65","0.49","5,101.00","5,122.80","5,099.60","5,088.90","5,078.60","5,144.45","4,950.70","3,856.50","-","-","31.96","2.79"
"NIFTY50 VALUE 20","12,440.75","1.27","12,334.25","12,459.50","12,328.50","12,284.55","12,272.60","12,405.95","11,839.30","9,287.90","12,537.15","8,951.65","32.26","3.76"
"NIFTY50 TR 2X LEVERAGE","17,668.90","2.93","17,264.40","17,687.00","17,264.40","17,165.30","17,119.00","17,548.40","16,511.35","11,415.95","17,682.40","10,571.85","50.36","3.96"
"NIFTY50 PR 2X LEVERAGE","12,348.35","2.93","12,065.65","12,361.00","12,065.65","11,996.40","11,964.05","12,264.10","11,570.00","8,162.25","12,357.75","7,558.50","46.97","3.69"
"NIFTY50 TR 1X INVERSE","180.75","-1.44","182.90","182.90","180.65","183.40","183.65","181.35","186.75","220.80","229.40","180.65","-16.94","-1.79"
"NIFTY50 PR 1X INVERSE","216.00","-1.44","218.55","218.55","215.85","219.15","219.45","216.70","222.85","260.90","271.10","215.90","-16.00","-1.66"
"NIFTY50 DIVIDEND POINTS","220.31","-","220.31","220.31","220.31","220.31","220.31","220.31","191.41","199.72","-","-","10.31","15.10"
"NIFTY ALPHA 50","46,815.35","0.70","46,774.35","46,986.00","46,687.00","46,491.55","46,137.90","46,959.75","45,991.30","25,856.25","-","-","79.81","1.09"
"NIFTY50 EQUAL WEIGHT","28,102.15","1.37","27,855.50","28,118.00","27,845.35","27,721.40","27,688.40","28,107.95","26,795.55","19,683.25","-","-","40.84","3.46"
"NIFTY100 EQUAL WEIGHT","28,992.90","0.99","28,851.20","29,010.00","28,845.05","28,709.20","28,525.15","28,951.95","27,223.75","19,376.80","-","-","48.16","5.46"
"NIFTY100 LOW VOLATILITY 30","18,153.90","0.90","18,049.30","18,158.65","18,039.25","17,992.75","17,900.50","18,102.60","17,255.95","12,969.20","-","-","38.73","4.27"
"NIFTY200 QUALITY 30","18,737.60","0.37","18,719.90","18,774.35","18,706.30","18,668.55","18,626.70","18,881.70","18,342.00","14,138.80","-","-","32.04","1.78"
"NIFTY ALPHA LOW-VOLATILITY 30","25,861.70","1.19","25,656.35","25,873.15","25,651.50","25,557.60","25,418.15","25,786.45","24,117.95","16,630.70","-","-","53.68","5.97"
"NIFTY200 MOMENTUM 30","30,412.65","1.41","30,127.80","30,430.25","30,119.00","29,990.80","29,850.65","30,328.65","28,745.85","18,238.65","-","-","64.44","4.33"
"NIFTY MIDCAP150 QUALITY 50","20,738.55","0.42","20,733.35","20,797.25","20,707.50","20,651.30","20,486.65","20,907.85","20,581.65","15,886.25","-","-","29.99","0.34"
"NIFTY200 ALPHA 30","23,028.10","1.22","22,864.15","23,057.30","22,859.05","22,751.15","22,571.25","23,244.40","21,815.70","-","-","-","-","4.29"
"NIFTY MIDCAP150 MOMENTUM 50","52,735.65","0.56","52,698.10","52,891.35","52,612.75","52,443.00","52,340.75","53,269.10","51,772.45","-","-","-","-","1.30"
"NIFTY COMMODITIES","8,321.90","2.23","8,189.75","8,334.55","8,189.60","8,140.70","8,104.50","8,293.65","7,888.60","5,457.75","8,399.45","5,386.10","49.16","3.20"
"NIFTY INDIA CONSUMPTION","9,895.25","0.91","9,841.30","9,899.00","9,825.50","9,806.15","9,801.90","9,951.90","9,518.90","7,156.95","9,980.40","7,039.60","37.02","3.02"
"NIFTY CPSE","5,869.15","1.61","5,807.40","5,892.15","5,807.10","5,776.15","5,757.35","5,861.55","5,353.00","2,913.40","5,935.00","2,827.85","98.26","7.90"
"NIFTY ENERGY","39,599.90","1.96","39,059.05","39,650.70","39,050.10","38,838.00","38,748.05","39,561.45","36,398.80","21,874.60","40,194.90","22,066.90","77.55","6.70"
"NIFTY INFRASTRUCTURE","8,232.10","1.81","8,126.15","8,237.45","8,124.00","8,085.75","8,055.20","8,170.70","7,838.30","5,051.60","8,215.45","4,966.00","60.06","3.16"
"NIFTY100 LIQUID 15","6,318.60","1.66","6,241.85","6,322.85","6,241.10","6,215.20","6,199.15","6,316.50","5,967.75","4,401.25","6,339.45","4,196.00","41.21","4.15"
"NIFTY MIDCAP LIQUID 15","11,232.85","0.37","11,224.65","11,271.55","11,199.95","11,191.75","11,110.05","11,430.75","11,131.15","7,402.95","11,517.75","7,039.85","51.18","0.54"
"NIFTY MNC","25,244.45","0.61","25,152.20","25,261.70","25,132.70","25,090.65","24,852.70","25,206.10","24,039.70","19,175.20","25,322.05","18,651.05","30.85","4.37"
"NIFTY PSE","9,317.85","1.96","9,201.05","9,338.30","9,197.10","9,138.85","9,084.60","9,318.60","8,616.45","4,445.15","9,564.20","4,366.80","105.59","6.06"
"NIFTY SERVICES SECTOR","27,966.25","1.02","27,747.85","28,000.15","27,747.85","27,683.95","27,668.30","27,961.05","27,095.35","23,171.15","28,259.95","22,333.20","19.48","2.17"
"NIFTY100 ESG SECTOR LEADERS","3,689.25","1.39","3,650.80","3,690.90","3,650.65","3,638.70","3,627.10","3,666.95","3,534.55","2,817.15","-","-","29.16","2.95"
